                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6898,                 6.9831,                 1.8913,                      0,                      0,                      0,                      0,                  1.948,                  6.515,                 1.6578,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.3894,                 8.3631,                 2.1172,                      0,                      0,                      0,                      0,                 1.8654,                 6.5337,                 1.6342,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      3,                 2.3758,                  7.196,                 1.7832,                      0,                      0,                      0,                      0,                 2.1559,                 7.1372,                 1.7835,             0.00015968,             0.00015968,             0.00015968
                      4,                 1.8556,                 5.7156,                 1.3082,                      0,                      0,                      0,                      0,                 1.8874,                 6.8698,                 1.6755,             0.00021935,             0.00021935,             0.00021935
                      5,                 2.1274,                 5.2758,                 1.2117,                 0.0003,                  0.125,                0.00021,                0.00015,                 1.7805,                 6.0673,                 1.5439,             0.00027889,             0.00027889,             0.00027889
                      6,                 1.8706,                 3.6411,                 1.2827,                0.00061,                   0.25,                 0.0005,                0.00026,                 1.5768,                 6.1752,                 1.4499,             0.00033832,             0.00033832,             0.00033832
                      7,                 1.8323,                 3.4385,                 1.2753,                0.00152,                  0.625,                0.00189,                0.00091,                 1.4301,                 6.0012,                 1.3016,             0.00039762,             0.00039762,             0.00039762
                      8,                 1.7606,                 3.0681,                 1.2458,                0.00212,                  0.875,                0.00389,                0.00196,                 1.4489,                 5.8414,                 1.1717,             0.00045681,             0.00045681,             0.00045681
                      9,                 1.7259,                 4.8148,                 1.1861,                0.00242,                      1,                0.00436,                0.00233,                 1.2517,                 5.5068,                0.99691,             0.00051588,             0.00051588,             0.00051588
                     10,                 1.5994,                 2.9008,                 1.1576,                0.00242,                      1,                0.00409,                0.00243,                 1.5288,                 5.3259,                 1.0211,             0.00057483,             0.00057483,             0.00057483
